customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn,BalancePerProduct,AgeGroup,CreditScoreGroup,TenureGroup,IsSenior,HasZeroBalance,SalaryPerAge
15634602,619,France,Female,42,2,0.0,1,1,1,101348.88,1,0.0,40-50,Fair,New,0,1,2413.0685714285714
15647311,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,82978.07920792079,40-50,Fair,New,0,0,2744.940975609756
15619304,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,53043.455149501664,40-50,Poor,Long,0,0,2712.656428571429
15701354,699,France,Female,39,1,0.0,2,0,0,93826.63,0,0.0,30-40,Fair,New,0,1,2405.811025641026
15737888,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,124268.13861386139,40-50,Excellent,New,0,0,1839.16511627907
15574012,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,56594.91542288558,40-50,Fair,Long,0,0,3403.5615909090907
15592531,822,France,Male,50,7,0.0,2,1,1,10062.8,0,0.0,40-50,Excellent,Long,0,1,201.25599999999997
15656148,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,28689.960099750628,<30,Poor,Medium,0,0,4115.409655172414
15792365,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,70672.17412935324,40-50,Poor,Medium,0,0,1703.1931818181818
15592389,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,133271.1683168317,<30,Fair,New,0,0,2656.5085185185185
15767821,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,50754.58706467662,30-40,Poor,Medium,0,0,2586.487741935484
15737173,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,0.0,<30,Poor,New,0,1,3182.9170833333333
15632264,476,France,Female,34,10,0.0,2,1,0,26260.98,0,0.0,30-40,Poor,Long,0,1,772.3817647058823
15691483,549,France,Female,25,5,0.0,2,0,0,190857.79,0,0.0,<30,Poor,Medium,0,1,7634.3116
15600882,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,0.0,30-40,Fair,Long,0,1,1884.332857142857
15643966,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,71208.6616915423,40-50,Fair,New,0,0,1429.4946666666667
15737452,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,131289.9801980198,50+,Fair,New,0,0,87.89086206896552
15788218,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,0.0,<30,Poor,Long,0,1,600.2670833333333
15661507,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,0.0,40-50,Poor,Medium,0,1,3526.329111111111
15568982,726,France,Female,24,6,0.0,2,1,1,54724.03,0,0.0,<30,Good,Medium,0,1,2280.1679166666668
15577657,732,France,Male,41,8,0.0,2,1,1,170886.17,0,0.0,40-50,Good,Long,0,1,4167.955365853659
15597945,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,0.0,30-40,Fair,Long,0,1,4329.858125
15699309,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,0.0,30-40,Poor,Medium,0,1,3129.3034210526316
15725737,669,France,Male,46,3,0.0,2,0,1,8487.75,0,0.0,40-50,Fair,New,0,1,184.5163043478261
15625047,846,France,Female,38,5,0.0,1,1,1,187616.16,0,0.0,30-40,Excellent,Medium,0,1,4937.267368421053
15738191,577,France,Male,25,3,0.0,2,0,1,124508.29,0,0.0,<30,Poor,New,0,1,4980.3315999999995
15736816,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,135461.02970297032,30-40,Good,New,0,0,4723.387500000001
15700772,571,France,Male,44,9,0.0,2,0,0,38433.35,0,0.0,40-50,Poor,Long,0,1,873.4852272727272
15728693,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,139949.9306930693,40-50,Poor,New,0,0,2329.9402325581395
15656300,411,France,Male,29,0,59697.17,2,1,1,53483.21,0,29700.08457711443,<30,Poor,,0,0,1844.2486206896551
15589475,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,0.0,30-40,Poor,New,0,1,3601.7789743589747
15706552,533,France,Male,36,7,85311.7,1,0,1,156731.91,0,84467.02970297029,30-40,Poor,Long,0,0,4353.6641666666665
15750181,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,54782.35820895523,40-50,Poor,Long,0,0,1997.5319512195122
15659428,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,0.0,40-50,Poor,Medium,0,1,819.2988095238096
15732963,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,0.0,<30,Good,Long,0,1,4897.692068965517
15794171,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,132934.69306930693,40-50,Poor,,0,0,618.2886666666667
15788448,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,143822.00990099012,30-40,Poor,New,0,0,3679.573225806452
15729599,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,75790.69306930693,30-40,Excellent,Long,0,0,2983.4378787878786
15717426,850,France,Male,36,7,0.0,1,1,1,40812.9,0,0.0,30-40,Excellent,Long,0,1,1133.6916666666666
15585768,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,34999.74129353234,40-50,Poor,Medium,0,0,4343.269268292683
15619360,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,0.0,30-40,Poor,Medium,0,1,1753.8555000000001
15738148,465,France,Female,51,8,122522.32,1,0,0,181297.65,1,121309.22772277228,50+,Poor,Long,0,0,3554.855882352941
15687946,556,France,Female,61,2,117419.35,1,1,1,94153.83,0,116256.78217821782,50+,Poor,New,1,0,1543.5054098360656
15755196,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,130093.62376237623,40-50,Excellent,New,0,0,3966.6481632653063
15684171,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,154387.23762376237,50+,Fair,Medium,1,0,2595.71131147541
15754849,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,54438.373134328365,30-40,Good,Medium,0,0,3953.670625
15602280,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,110936.30693069307,<30,Excellent,Long,0,0,4433.637407407407
15771573,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,136479.0099009901,30-40,Fair,Long,0,0,3015.9692307692308
15766205,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,102367.70297029703,30-40,Poor,New,0,0,2391.529736842105
15771873,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,51626.4776119403,30-40,Good,New,0,0,5245.922162162162
15616550,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,57892.22388059702,40-50,Fair,Long,0,0,4501.344545454545
